Speed,Latitude,Longitude 
Speed,-33.89017676,151.1279851
Speed,-33.83596257,151.0236212
Speed,-33.90591876,151.0385979
Speed,-33.90618282,151.0389152
Speed,-33.48820797,151.1838675
Speed,-30.00608908,151.7150055
Speed,-33.66132172,150.7972901
Speed,-33.95055554,151.0816667
Speed,-33.95055553,151.0819444
Speed,-33.9424273,151.1187736
Speed,-31.78359945,150.8955526
Speed,-34.85783897,150.6054788
Speed,-33.893729,150.894911
Speed,-33.89797227,150.8944633
Speed,-36.519191,149.829115
Speed,-34.33154593,150.9137692
Speed,-28.401083,153.438162
Speed,-33.88782464,151.1047184
Speed,-33.81538472,151.022514
Speed,-33.913881,151.114813
Speed,-34.03560285,151.1313471
Speed,-33.78267107,151.0491467
Speed,-33.73182386,151.0133555
Speed,-33.22036966,151.5060441
Speed,-33.84951967,151.0899929
Speed,-33.92514833,151.0127285
Speed,-33.94709338,151.2288756
Speed,-33.94698527,151.2290104
Speed,-33.8764195,151.2303775
Speed,-28.64748547,153.5485293
Speed,-33.869726,150.979134
Speed,-32.98367474,151.6921763
Speed,-33.82320759,150.9326137
Speed,-33.84888891,150.9969444
Speed,-33.84898622,150.9971901
Speed,-34.41477048,150.8813173
Speed,-34.40624849,150.8838636
Speed,-33.5438964,150.170696
Speed,-30.55487088,153.0063098
Speed,-33.964232,151.111588
Speed,-33.75328526,150.7128596
Speed,-33.75285392,150.7131341
Speed,-33.96785364,151.1363472
Speed,-33.96706137,151.1367476
Speed,-30.25640684,153.1293456
Speed,-33.53374295,150.6326618
Speed,-33.81286842,151.15824
Speed,-33.89143275,150.9655959
Speed,-33.78114353,151.1703513
Speed,-33.78126253,151.1701605
Speed,-33.91916668,150.9275
Speed,-32.69960755,151.4581118
Speed,-33.94683202,151.2516715
Speed,-33.94686715,151.2518953
Speed,-32.8922325,151.7298519
Speed,-33.83499999,150.9822222
Speed,-34.03357161,151.0969542
Speed,-34.03379629,151.0969364
Speed,-33.89305552,151.2188889
Speed,-33.89305557,151.2186111
Speed,-33.82239064,151.2320488
Speed,-33.58287,150.24047
Speed,-33.72000362,151.2981769
Speed,-33.72057823,151.2980167
Speed,-33.756043,151.276273
Speed,-29.15879224,153.2930778
Speed,-29.158693,153.293021
Speed,-33.13393006,151.6131895
Speed,-33.76416669,151.2797222
Speed,-30.69696637,152.9652117
Speed,-30.703546,152.923003
Speed,-33.70094101,151.2991867
Speed,-33.70216545,151.2984224
Speed,-33.80057705,151.0082796
Speed,-33.79341232,151.018726
Speed,-33.79357428,151.0188313
Speed,-34.41141854,150.8926124
Speed,-33.86765966,150.9875982
Speed,-33.86739615,150.987915
Speed,-33.35809178,151.3429571
Speed,-33.35340304,151.3696063
Speed,-33.35340788,151.3696426
Speed,-33.93987715,151.0274613
Speed,-33.9610236,151.0495263
Speed,-33.96333333,151.0858334
Speed,-33.97902162,151.0098467
Speed,-35.3737068,149.1944031
Speed,-33.92284282,151.2400467
Speed,-32.925096,151.682014
Speed,-33.9209704,151.1970989
Speed,-33.92085491,151.1968724
Speed,-33.81284539,151.0451275
Speed,-33.81264402,151.0441903
Speed,-33.80306634,151.1019372
Speed,-33.81959929,151.1174122
Speed,-33.81987705,151.11769
Speed,-32.85620069,151.7038844
Speed,-32.85768723,151.7048722
Speed,-33.62840855,150.7950062
Speed,-33.87792312,151.0931962
Speed,-29.0400659,152.0160985
Speed,-33.439516,151.431087
Speed,-33.78629486,150.9657021
Speed,-33.78653841,150.9660488
Speed,-30.58350026,153.0024828
Speed,-33.71183191,150.5919374
Speed,-33.72287956,151.1184548
